home_team,away_team,match_datetime,stage
Mexico,South Africa,2026-06-11 14:00,Grupo A
Korea Republic,Czechia,2026-06-11 21:00,Grupo A
Canada,Bosnia and Herzegovina,2026-06-12 14:00,Grupo B
United States,Paraguay,2026-06-12 20:00,Grupo D
Qatar,Switzerland,2026-06-13 14:00,Grupo B
Brazil,Morocco,2026-06-13 17:00,Grupo C
Haiti,Scotland,2026-06-13 20:00,Grupo C
Australia,Turkiye,2026-06-13 23:00,Grupo D
Germany,Curacao,2026-06-14 12:00,Grupo E
Netherlands,Japan,2026-06-14 15:00,Grupo F
Cote d'Ivoire,Ecuador,2026-06-14 18:00,Grupo E
Sweden,Tunisia,2026-06-14 21:00,Grupo F
Spain,Cabo Verde,2026-06-15 11:00,Grupo H
Belgium,Egypt,2026-06-15 14:00,Grupo G
Saudi Arabia,Uruguay,2026-06-15 17:00,Grupo H
Iran,New Zealand,2026-06-15 20:00,Grupo G
France,Senegal,2026-06-16 14:00,Grupo I
Iraq,Norway,2026-06-16 17:00,Grupo I
Argentina,Algeria,2026-06-16 20:00,Grupo J
Austria,Jordan,2026-06-16 23:00,Grupo J
Portugal,DR Congo,2026-06-17 12:00,Grupo K
England,Croatia,2026-06-17 15:00,Grupo L
Ghana,Panama,2026-06-17 18:00,Grupo L
Uzbekistan,Colombia,2026-06-17 21:00,Grupo K
South Africa,Czechia,2026-06-18 11:00,Grupo A
Bosnia and Herzegovina,Switzerland,2026-06-18 14:00,Grupo B
Canada,Qatar,2026-06-18 17:00,Grupo B
Mexico,Korea Republic,2026-06-18 20:00,Grupo A
United States,Australia,2026-06-19 14:00,Grupo D
Scotland,Morocco,2026-06-19 17:00,Grupo C
Brazil,Haiti,2026-06-19 19:30,Grupo C
Turkiye,Paraguay,2026-06-19 22:00,Grupo D
Netherlands,Sweden,2026-06-20 12:00,Grupo F
Germany,Cote d'Ivoire,2026-06-20 15:00,Grupo E
Ecuador,Curacao,2026-06-20 19:00,Grupo E
Tunisia,Japan,2026-06-20 23:00,Grupo F
Spain,Saudi Arabia,2026-06-21 11:00,Grupo H
Belgium,Iran,2026-06-21 14:00,Grupo G
Uruguay,Cabo Verde,2026-06-21 17:00,Grupo H
New Zealand,Egypt,2026-06-21 20:00,Grupo G
Argentina,Austria,2026-06-22 12:00,Grupo J
France,Iraq,2026-06-22 16:00,Grupo I
Norway,Senegal,2026-06-22 19:00,Grupo I
Jordan,Algeria,2026-06-22 22:00,Grupo J
Portugal,Uzbekistan,2026-06-23 12:00,Grupo K
England,Ghana,2026-06-23 15:00,Grupo L
Panama,Croatia,2026-06-23 18:00,Grupo L
Colombia,DR Congo,2026-06-23 21:00,Grupo K
Switzerland,Canada,2026-06-24 14:00,Grupo B
Bosnia and Herzegovina,Qatar,2026-06-24 14:00,Grupo B
Scotland,Brazil,2026-06-24 17:00,Grupo C
Morocco,Haiti,2026-06-24 17:00,Grupo C
Czechia,Mexico,2026-06-24 20:00,Grupo A
South Africa,Korea Republic,2026-06-24 20:00,Grupo A
Ecuador,Germany,2026-06-25 15:00,Grupo E
Curacao,Cote d'Ivoire,2026-06-25 15:00,Grupo E
Tunisia,Netherlands,2026-06-25 18:00,Grupo F
Japan,Sweden,2026-06-25 18:00,Grupo F
Turkiye,United States,2026-06-25 21:00,Grupo D
Paraguay,Australia,2026-06-25 21:00,Grupo D
Norway,France,2026-06-26 14:00,Grupo I
Senegal,Iraq,2026-06-26 14:00,Grupo I
Uruguay,Spain,2026-06-26 19:00,Grupo H
Cabo Verde,Saudi Arabia,2026-06-26 19:00,Grupo H
New Zealand,Belgium,2026-06-26 22:00,Grupo G
Egypt,Iran,2026-06-26 22:00,Grupo G
Panama,England,2026-06-27 16:00,Grupo L
Croatia,Ghana,2026-06-27 16:00,Grupo L
Colombia,Portugal,2026-06-27 18:30,Grupo K
DR Congo,Uzbekistan,2026-06-27 18:30,Grupo K
Jordan,Argentina,2026-06-27 21:00,Grupo J
Algeria,Austria,2026-06-27 21:00,Grupo J

